ROW_TYPE,ROW_ID,ARTIFACT,DECISION_OR_CITATION,VALUE,UNITS,CLASSIFICATION,SOURCE_IDS,LOCATOR,SENSITIVITY_REQUIRED,VERIFICATION_STATUS,NOTES
SOURCE,S12,SOURCE_REGISTRY,"Xu J, et al. A systematic review of the different calculation methods for measuring jump height during the countermovement and drop jump tests. Sports Medicine 2023.",10.1007/s40279-023-01828-x; PMID 36940054,—,SOURCE,—,Impulse-momentum preferred for takeoff-to-apex; method definitions differ,—,AUTHORITY_SYNCED,Supports direct SYSTEM_COM takeoff-to-apex as the primary simulation truth and impulse/flight-time as comparators.
SOURCE,S13,SOURCE_REGISTRY,"Kraska JM, et al. Relationship between strength characteristics and unweighted and weighted vertical jump height. International Journal of Sports Physiology and Performance 2009.",10.1123/ijspp.4.4.461; PMID 20029097,—,SOURCE,—,"+20 kg CMJ flight-time heights in collegiate athletes; strongest subgroup ~27.6 cm, weakest ~18.7 cm",—,AUTHORITY_SYNCED,"Cross-family comparator only (flight-time, collegiate), not a direct SYSTEM_COM band."
SOURCE,S14,SOURCE_REGISTRY,"Lopez-Segovia M, et al. Effects of loaded CMJ on soccer players (+20/+30/+40 kg). Journal of Human Kinetics 2011.",10.2478/v10078-011-0081-2,—,SOURCE,—,U21 soccer loaded CMJ; +20 kg is task-relevant but does not provide a senior-elite method-matched H2 distribution,—,AUTHORITY_SYNCED,Task-relevance evidence only.
SOURCE,S15,SOURCE_REGISTRY,"Fritz J, et al. Loaded barbell jump landing kinetics. Journal of Biomechanics 2021.",10.1016/j.jbiomech.2021.110354,—,SOURCE,—,"Increasing barbell load changes landing kinematics, reduces hip/knee peak power, increases ankle energy dissipation",—,AUTHORITY_SYNCED,"Landing validation must inspect ankle/MTP behavior, not COM alone."
SOURCE,S16,SOURCE_REGISTRY,Proximal trunk-borne load countermovement jump coordination study. PMID 30126721.,PMID 30126721,—,SOURCE,—,External trunk load shifts coordination toward greater hip contribution early and hip+ankle contribution late,—,AUTHORITY_SYNCED,Strategy envelope: no unloaded knee-dominant template may be forced.
SOURCE,S17,SOURCE_REGISTRY,Takeoff-threshold comparison study in countermovement jumps. PMID 38863789.,PMID 38863789,—,SOURCE,—,"10 N / 10 ms class force thresholds are measurement comparators, reliable but not physical truth",—,AUTHORITY_SYNCED,Comparator-only status frozen in EVENT_MEASUREMENT_BOUNDARY.
SOURCE,S18,SOURCE_REGISTRY,"White RM. Comparative anthropometry of the foot. US Army Natick Research & Development Laboratories, 1983.",ADA126189,—,SOURCE,—,Adult foot breadth and heel breadth distributions; heel breadth materially below ball breadth,—,AUTHORITY_SYNCED,Context for the heel contact patch being narrower than the forefoot patch; patch dimensions remain engineering nominals.
SOURCE,S19,SOURCE_REGISTRY,CDC / general adult joint range-of-motion reference values.,CDC normal joint ROM reference (as recorded in the Linear system authority),—,SOURCE,—,General-human ROM including weight-bearing dorsiflexion ~39-45 deg and soccer jump-landing peak dorsiflexion ~32-38 deg,—,AUTHORITY_SYNCED,"Structural capability bounds are anatomy-driven, not soccer-specific technique targets."
SOURCE,S20,SOURCE_REGISTRY,Elite-soccer foot-length source recorded in the Linear system authority (reports 27.2 +/- 0.9 with an internally implausible unit label).,not resolved in the synced authority,—,SOURCE,—,Elite soccer foot length,—,AUTHORITY_SYNCED,"Unit label internally inconsistent relative to reported stature; corroborative only, never sole direct authority."
SOURCE,S21,SOURCE_REGISTRY,"Adolescent male football anthropometry (foot length ~27.23 +/- 1.89 cm, width ~10.41 +/- 0.57 cm in the oldest group).",as recorded in the Linear system authority,—,SOURCE,—,Adolescent male football foot dimensions,—,AUTHORITY_SYNCED,Supports the 0.275 x 0.105 m literature-informed synthetic nominal.
SOURCE,S22,SOURCE_REGISTRY,"Project canonical methodology books: force-platform measurement, inverse/forward dynamics, uncertainty propagation, impact/contact mechanics, and V&V (as recorded in the Linear system authority).",project internal authority,—,SOURCE,—,"V&V separation, measurement definitions, contact mechanics framing",—,PROJECT_AUTHORITY,Methodological framing only; no numeric value is taken from this row.
DECISION,SC-01,SPORT_CONTEXT_AUTHORITY,Sport-context identifier for the successor Plant reference population.,ELITE_MALE_PRO_SOCCER_OUTFIELD_TOP_TIER_EUROPE_V1,—,LITERATURE_INFORMED_SYNTHETIC,S05;S06;S07,Linear Elite Soccer System Authority V1 section 1; Bongiovanni 2023 cohort,—,RECOMPUTED_FROM_INPUTS,Synthetic population identifier; not a claim about any individual.
DECISION,SC-02,SPORT_CONTEXT_AUTHORITY,Reference population definition.,"healthy senior adult male first-team professional outfield soccer player, top-tier European domestic league / UEFA-caliber environment; goalkeepers excluded; field position not frozen",—,LITERATURE_INFORMED_SYNTHETIC,S05;S06;S07,System authority section 1; S05 positional differences,—,RECOMPUTED_FROM_INPUTS,Position-specific variants are future calibrations.
DECISION,SC-03,SPORT_CONTEXT_AUTHORITY,Task definition.,"maximal voluntary bilateral +20.0 kg back-loaded countermovement jump, hands fixed to the bar, no arm swing, dual-force-plate laboratory setting, full standing-countermovement-flight-landing-recovery sequence",—,LITERATURE_INFORMED_SYNTHETIC,S13;S14;S16,System authority section 1; loaded-CMJ task evidence,—,RECOMPUTED_FROM_INPUTS,Sagittal-dominant reduced rigid-body model.
DECISION,SC-04,SPORT_CONTEXT_AUTHORITY,Claim boundary of the V1 reduction.,"sagittal-plane mechanics only; lateral translation, roll and yaw are structurally removed; no 3-D cutting/lateral/asymmetric validity claim",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S22,System authority sections 7 and 20; PLAN_TOPOLOGY_AUTHORITY,—,RECOMPUTED_FROM_INPUTS,Any materially asymmetric control claim requires a future true 3-D/6-DOF Plant.
DECISION,SC-05,SPORT_CONTEXT_AUTHORITY,Evidence hierarchy for authority decisions.,"1 human anatomy/joint mechanics/BSIP; 2 elite senior male first-division soccer anthropometry; 3 elite/professional soccer CMJ testing evidence; 4 soccer +20 kg loaded-jump evidence supplemented by broader loaded-CMJ work; 5 NBA elite CMJ data as secondary strategy comparator; 6 engineering choices only where literature does not determine a unique value, always tagged and sensitivity-tested",—,LITERATURE_INFORMED_SYNTHETIC,S01;S05;S06;S07;S13;S14,Linear RES-95 description; System authority section 2,—,RECOMPUTED_FROM_INPUTS,No engineering value may be relabeled as an elite-soccer measurement.
DECISION,SC-06,SPORT_CONTEXT_AUTHORITY,Use of NBA CMJ cohort data.,secondary elite movement-strategy comparator only; it sets neither soccer anthropometry nor +20 kg performance thresholds,—,LITERATURE_INFORMED_SYNTHETIC,S07,System authority sections 1 and 14,—,RECOMPUTED_FROM_INPUTS,Recorded to prevent strategy-template drift.
DECISION,SC-07,SPORT_CONTEXT_AUTHORITY,Claim ceiling after the Plant rebuild (M6).,"the Plant may be called a sagittal-dominant rigid-body model parameterized to a nominal elite senior male professional outfield soccer athlete and configured for a maximal 20 kg loaded countermovement jump; no subject-specific, population-norm, injury-risk, optimality, midfoot-fidelity or field/turf claim",—,LITERATURE_INFORMED_SYNTHETIC,S22,System authority section 20; RES-82 SCIENTIFIC_CLAIM_CEILING.md,—,RECOMPUTED_FROM_INPUTS,verification != validation; determinism != biomechanical validity.
DECISION,RA-01,REFERENCE_ATHLETE_SPEC,Synthetic nominal athlete sex and age class.,male; senior_adult; reference age 24 y (nominal),—,LITERATURE_INFORMED_SYNTHETIC,S05;S06,System authority section 3,—,RECOMPUTED_FROM_INPUTS,Not a real person and not the exact population mean.
DECISION,RA-02,REFERENCE_ATHLETE_SPEC,Reference stature.,1.835,m,LITERATURE_INFORMED_SYNTHETIC,S05;S06,S05 183.72 +/- 5.86 cm; S06 184 +/- 7 cm; rounded synthetic consensus,"sensitivity set [1.835, 1.7764, 1.8936] m",RECOMPUTED_FROM_INPUTS,Inside contemporary first-team professional distributions.
DECISION,RA-03,REFERENCE_ATHLETE_SPEC,Reference athlete mass.,79.0,kg,LITERATURE_INFORMED_SYNTHETIC,S05;S06,S05 79.91 +/- 6.31 kg; S06 81 +/- 9 kg,"sensitivity set [79, 72.69, 85.31] kg",RECOMPUTED_FROM_INPUTS,Rounded synthetic consensus; not a population mean claim.
DECISION,RA-04,REFERENCE_ATHLETE_SPEC,External load mass.,20.0,kg,LITERATURE_DIRECT,S04;S13;S14,IWF men's bar standard; loaded-CMJ task,—,RECOMPUTED_FROM_INPUTS,Rigid 20 kg composite bar surrogate; see LOAD_BAR_AUTHORITY.
DECISION,RA-05,REFERENCE_ATHLETE_SPEC,Total mechanical system mass.,99.0,kg,PHYSICS_IDENTITY,—,athlete + rigid bar mass sum,—,RECOMPUTED_FROM_INPUTS,Force/impulse and ballistic identities use this mass; machine check in ANTHROPOMETRY_BSIP_AUTHORITY.
DECISION,RA-06,REFERENCE_ATHLETE_SPEC,Load-to-athlete mass ratio.,0.25316455696202533,—,PHYSICS_IDENTITY,—,20.0 / 79.0,—,RECOMPUTED_FROM_INPUTS,Derived identity.
DECISION,RA-07,REFERENCE_ATHLETE_SPEC,Nominal system weight at the project gravity constant.,971.19,N,PHYSICS_IDENTITY,—,99.0 kg * 9.81 m/s^2,—,RECOMPUTED_FROM_INPUTS,Athlete-only weight is 774.99 N; system authority uses the full carried system.
DECISION,RA-09,REFERENCE_ATHLETE_SPEC,Reconciliation of the historical RES-82 body-weight constant.,"{""RES82_BW"": ""95.0 kg * 9.81 = 931.95 N (historical V2 75 kg athlete + 20 kg load)"", ""SUCCESSOR_SYSTEM_WEIGHT"": ""99.0 kg * 9.81 = 971.19 N"", ""rule"": ""RES-82 thresholds expressed in units of BW are recomputed on the 99.0 kg successor base; no downstream artifact may inherit the 95 kg BW silently""}",N,PHYSICS_IDENTITY,S22,RES-82 EVENT_CONTRACT term BW versus the controlling Linear system authority section 3,—,RECOMPUTED_FROM_INPUTS,Historical RES-82 BW remains in RES-82's sealed artifacts; this decision is the successor reconciliation so force thresholds are computed on one base.
DECISION,RA-08,REFERENCE_ATHLETE_SPEC,"Reference athlete is a synthetic nominal, not a measured subject.",no individual prediction or exact-mean claim is permitted from this nominal,—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S05;S06,System authority section 3,—,RECOMPUTED_FROM_INPUTS,All downstream claims inherit this ceiling.
DECISION,AB-01,ANTHROPOMETRY_BSIP_AUTHORITY,Primary BSIP authority.,"de Leva (1996) adjustment of Zatsiorsky-Seluyanov parameters, joint-center referenced",—,LITERATURE_DIRECT,S01,S01 Tables 1-4,—,RECOMPUTED_FROM_INPUTS,Machine-readable coefficients in AUTHORITY_INPUTS.json; no uniform-density torso shortcut may be called anthropometric authority.
DECISION,AB-02,ANTHROPOMETRY_BSIP_AUTHORITY,Male segment mass fractions (head 0.0694; upper trunk 0.1596; middle trunk 0.1633; pelvis/lower trunk 0.1117; upper arm 0.0271 each; forearm 0.0162 each; hand 0.0061 each; thigh 0.1416 each; shank 0.0433 each; whole foot 0.0137 each).,"[0.0694, 0.1596, 0.1633, 0.1117, 0.0271, 0.0162, 0.0061, 0.1416, 0.0433, 0.0137]",fraction of athlete mass,LITERATURE_DIRECT,S01,"S01 Table 4, male column",—,RECOMPUTED_FROM_INPUTS,Fractions sum to 1.0000 across all segments.
DECISION,AB-03,ANTHROPOMETRY_BSIP_AUTHORITY,Segment masses at the reference athlete mass.,"{""head"": 5.482600000000001, ""upt"": 12.6084, ""mpt"": 12.9007, ""pelvis"": 8.8243, ""upper_arm"": 2.1409, ""forearm"": 1.2797999999999998, ""hand"": 0.48190000000000005, ""thigh"": 11.1864, ""shank"": 3.4207, ""whole_foot"": 1.0823}",kg,LITERATURE_DIRECT,S01,S01 Table 4 mass fractions * 79.0 kg,—,RECOMPUTED_FROM_INPUTS,Recomputed deterministically by build_authority_numbers.py.
DECISION,AB-04,ANTHROPOMETRY_BSIP_AUTHORITY,Athlete and system mass closure.,"{""hat"": 38.7969, ""pelvis"": 8.8243, ""two_thighs"": 22.3728, ""two_shanks"": 6.8414, ""two_feet"": 2.1646, ""athlete_total"": 79.0, ""bar"": 20.0, ""system_total"": 99.0}",kg,PHYSICS_IDENTITY,S01,sum of body segments; plus bar mass,—,RECOMPUTED_FROM_INPUTS,Machine test: athlete total = 79.0 kg and system total = 99.0 kg within numerical tolerance.
DECISION,AB-05,ANTHROPOMETRY_BSIP_AUTHORITY,Thigh segment length (normative form).,0.4449875,m,LITERATURE_DIRECT,S01,frozen stature ratio 0.2425 * H; de Leva Table 4 male thigh (HJC-KJC) 422.2 mm x stature scale as cross-check,—,RECOMPUTED_FROM_INPUTS,Normative 0.2425 * H = 0.4449875 m; de Leva-scaled cross-check 0.444995405 m (delta 7.90493969e-06 m).
DECISION,AB-06,ANTHROPOMETRY_BSIP_AUTHORITY,Shank segment length (normative form).,0.45746549999999997,m,LITERATURE_DIRECT,S01,frozen stature ratio 0.2493 * H; de Leva Table 4 male shank (KJC-LMAL) 434.0 mm x stature scale as cross-check,—,RECOMPUTED_FROM_INPUTS,Normative 0.2493 * H = 0.4574655 m; de Leva-scaled cross-check 0.45743251 m (delta -3.29899483e-05 m).
DECISION,AB-07,ANTHROPOMETRY_BSIP_AUTHORITY,HAT component segment lengths (head VERT-CERV; upper trunk CERV-XYPH; middle trunk XYPH-OMPH).,"{""head"": 0.2560146467547386, ""upt"": 0.255171453187823, ""mpt"": 0.22713526708788048}",m,LITERATURE_DIRECT,S01,S01 Table 4 male alternative-endpoint rows x stature scale,—,RECOMPUTED_FROM_INPUTS,Stature scaling rule: lengths scale linearly with H / 1.741 m.
DECISION,AB-08,ANTHROPOMETRY_BSIP_AUTHORITY,Pelvis body parameterization.,"{""mass_kg"": 8.8243, ""com_z_above_midh_m"": 0.05966063512349223, ""length_m"": 0.1535666283744974}",kg / m,LITERATURE_DIRECT,S01,S01 Table 4 male lower trunk OMPH-MIDH,—,RECOMPUTED_FROM_INPUTS,The pelvis body carries the de Leva lower-trunk (LPT) parameters; MIDH is the trunk-pelvis hinge center.
DECISION,AB-09,ANTHROPOMETRY_BSIP_AUTHORITY,Foot length and width nominal.,"{""FOOT_LENGTH_M"": 0.275, ""FOOT_WIDTH_M"": 0.105}",m,LITERATURE_INFORMED_SYNTHETIC,S03;S20;S21,S03 D-C foot length 0.152H = 0.279 m at H; S20/S21 elite and adolescent soccer feet,foot geometry sensitivity: FOOT_LENGTH +/- 0.010 m; FOOT_WIDTH +/- 0.007 m,RECOMPUTED_FROM_INPUTS,"0.275 x 0.105 m is a literature-informed synthetic nominal, not one-paper direct."
DECISION,AB-10,ANTHROPOMETRY_BSIP_AUTHORITY,Ankle joint center height above the sole.,0.071565,m,HUMAN_ANATOMY_REFERENCE,S03,Drillis-Contini Fig. 4.1: ankle height = 0.039 H,ankle-height sensitivity +/- 0.010 m,RECOMPUTED_FROM_INPUTS,Used for standing geometry and contact placement.
DECISION,AB-11,ANTHROPOMETRY_BSIP_AUTHORITY,Ankle joint center horizontal position from the heel.,0.055,m,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S01;S03,no joint-center-resolved public value located; 0.20 * foot length,"sensitivity [0.045, 0.065] m",RECOMPUTED_FROM_INPUTS,Explicit engineering reduction; must not be presented as measured anatomy.
DECISION,AB-12,ANTHROPOMETRY_BSIP_AUTHORITY,de Leva radius-of-gyration axis interpretation.,"{""sagittal"": ""about the model medio-lateral axis (sagittal-plane rotation)"", ""transverse"": ""about the in-plane axis perpendicular to the segment long axis"", ""longitudinal"": ""about the segment long axis""}",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S01,S01 Table 4 column semantics (sagittal / transverse / longitudinal r),segment-inertia sensitivity 0.9x/1.1x on all segment inertia terms,RECOMPUTED_FROM_INPUTS,Axis-to-model mapping is an engineering reduction of the published axes; it is applied identically to every segment.
DECISION,AB-13,ANTHROPOMETRY_BSIP_AUTHORITY,Segment-chain closure check against reference stature.,"{""hip_height_m"": 0.9740179999999999, ""midh_to_vertex_m"": 0.8918879954049395, ""sum_m"": 1.8659059954049395, ""stature_m"": 1.835, ""delta_m"": 0.030905995404939546, ""delta_fraction_of_stature"": 0.016842504307868964}",m,PHYSICS_IDENTITY,S01;S03,ankle height + shank + thigh + (MIDH to vertex chain),—,RECOMPUTED_FROM_INPUTS,The joint-center-resolved chain overshoots stature by ~3.1 cm (~1.7%); the causes are mixed landmark systems between sources. RES-83 must absorb this in the standing pose and must not rescale the frozen segment lengths to force closure.
DECISION,AB-14,ANTHROPOMETRY_BSIP_AUTHORITY,Lower-limb segment inertias about their own COMs (thigh Ixx=Iyy/Izz; shank Ixx/Iyy/Izz).,"{""thigh_kg_m2"": [[0.23976057065071502, 0.0, 0.0], [0.0, 0.23976057065071502, 0.0], [0.0, 0.0, 0.04917660063207587]], ""shank_kg_m2"": [[0.04438440231686326, 0.0, 0.0], [0.0, 0.04654918083021296, 0.0], [0.0, 0.0, 0.007594621444486416]], ""pelvis_kg_m2"": [[0.06317964198451871, 0.0, 0.0], [0.0, 0.07870896370431779, 0.0], [0.0, 0.0, 0.07170511974256877]]}",kg m^2,LITERATURE_DIRECT,S01,S01 Table 4 radii of gyration * segment lengths,segment-inertia sensitivity 0.9x/1.1x,RECOMPUTED_FROM_INPUTS,"Body-frame origins: pelvis at MIDH, thigh at HJC, shank at KJC; z is proximal-to-distal."
DECISION,AB-15,ANTHROPOMETRY_BSIP_AUTHORITY,Whole-foot de Leva cross-check versus the multi-segment foot construction.,"{""whole_foot_sagittal_I_about_com_kg_m2"": 0.005406040472937501, ""assembled_segment_com_x_from_heel_m"": 0.11525194999999999, ""deleva_com_x_from_heel_m"": 0.1214125, ""com_x_delta_m"": -0.006160550000000015}",kg m^2 / m,LITERATURE_DIRECT,S01;S02,S01 whole-foot row vs S02 three-segment construction,foot-inertia sensitivity 0.5x/1.5x (Matsumoto practice) plus the compliant-midfoot alternative,RECOMPUTED_FROM_INPUTS,"Cross-check deltas are declared, not hidden; the three-segment construction controls because it is what the Plant implements."
DECISION,AB-16,ANTHROPOMETRY_BSIP_AUTHORITY,Stature scaling rule for de Leva component lengths.,linear scaling factor s = H / 1.741 = 1.05399196,—,LITERATURE_INFORMED_SYNTHETIC,S01,S01 male sample stature 1.741 m,"anthropometry sensitivity: stature set [1.835, 1.7764, 1.8936] m and mass set [79, 72.69, 85.31] kg (approximately +/-1 SD of the S05 cohort: 5.86 cm, 6.31 kg)",RECOMPUTED_FROM_INPUTS,"Applies to HAT components, pelvis and whole-foot reference length; thigh/shank are frozen by their stature ratios."
DECISION,AB-17,ANTHROPOMETRY_BSIP_AUTHORITY,No silent anthropometric reinterpretation.,"any change to a frozen ratio, mass fraction or length is an explicit authority amendment with downstream requalification",—,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S22,System authority section 22,—,RECOMPUTED_FROM_INPUTS,Silent tuning is prohibited.
DECISION,UB-01,UPPER_BODY_HAT_BAR_INERTIAL_AUTHORITY,Frozen reduced HAT decomposition.,head + upper trunk + middle trunk + 2x upper arm + 2x forearm + 2x hand (pelvis excluded and carried by the root pelvis body),—,LITERATURE_DIRECT,S01,S01 Table 4 component rows,—,RECOMPUTED_FROM_INPUTS,HAT mass 38.7969 kg equals the Linear authority value 38.7969 kg.
DECISION,UB-02,UPPER_BODY_HAT_BAR_INERTIAL_AUTHORITY,Fixed bar-hold posture parameterization (inertia aggregation reference posture).,"{""trunk"": ""MPT+UPT collinear on +z"", ""head_pitch_deg"": 0.0, ""shoulder_joint_x_m"": 0.0, ""shoulder_joint_y_m"": 0.16, ""shoulder_joint_z_m"": 0.5433328546812176, ""wrist_dz_m"": -0.035, ""hand_grip_half_width_y_m"": 0.24, ""elbow_rule"": ""two-link IK in the vertical plane through shoulder and wrist; select the solution with the lower elbow z""}",m / deg,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S01;S04,de Leva component geometry; frozen engineering bar-hold pose,"declared perturbations: {'bar_placement_m': [0.025, 0.025], 'head_pitch_deg': [-10.0, 0.0, 10.0], 'shoulder_joint_x_m': [-0.03, 0.03], 'shoulder_joint_y_m': [0.14, 0.18], 'wrist_dz_m': [-0.055, -0.015], 'hand_grip_half_width_y_m': [0.18, 0.3]}",RECOMPUTED_FROM_INPUTS,Every unmeasured posture parameter is engineering nominal with mandatory sensitivity; none is anthropometric truth.
DECISION,UB-03,UPPER_BODY_HAT_BAR_INERTIAL_AUTHORITY,Aggregated HAT mass.,38.7969,kg,LITERATURE_DIRECT,S01,sum of de Leva mass fractions,—,RECOMPUTED_FROM_INPUTS,Machine-recomputed.
DECISION,UB-04,UPPER_BODY_HAT_BAR_INERTIAL_AUTHORITY,Aggregated HAT COM in the HAT frame (origin MIDH).,"[-0.01596456566162191, -2.8616281832444254e-18, 0.4496738763907584]",m,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S01,de Leva component masses (LITERATURE_DIRECT) aggregated under the frozen engineering bar-hold posture UB-02,covered by UB-02 perturbations,RECOMPUTED_FROM_INPUTS,The component masses are literature-direct; the aggregate COM inherits the engineering posture classification and is not an anthropometric measurement.
DECISION,UB-05,UPPER_BODY_HAT_BAR_INERTIAL_AUTHORITY,"Aggregated HAT inertia tensor about its COM (full 3x3, HAT frame).","[[1.692352492111382, 3.469446951953614e-18, -0.02077944879714553], [3.469446951953614e-18, 1.4753589080582343, 3.469446951953614e-18], [-0.02077944879714553, 3.469446951953614e-18, 0.8504250560234003]]",kg m^2,ENGINEERING_NOMINAL_WITH_SENSITIVITY,S01,de Leva component tensors (LITERATURE_DIRECT) rotated into the HAT frame and translated under the frozen engineering bar-hold posture UB-02,"covered by UB-02 perturbations; system Iyy range [1.73167341, 2.02437733] kg m^2 over the declared set",RECOMPUTED_FROM_INPUTS,Ixy=Iyz=0 by left-right symmetry; Ixz is non-zero and must not be silently dropped.
DECISION,UB-06,UPPER_BODY_HAT_BAR_INERTIAL_AUTHORITY,HAT principal moments and principal rotation.,"{""principal_moments_kg_m2"": [1.6928650336618478, 1.475358908058234, 0.8499125144729343], ""principal_rotation_about_y_deg"": -1.4129592461485285}",kg m^2 / deg,ENGINEERING_NOMINAL_WITH_SENSITIVITY,—,eigendecomposition of UB-05 (which inherits the engineering posture classification),—,RECOMPUTED_FROM_INPUTS,The principal rotation is small (~1.4 deg); a diagonal implementation is permitted only with this declared rotation or with the full tensor.
