SOURCE_ID,FULL_CITATION,DOI_PMID_OR_STANDARD,SOURCE_TYPE,POPULATION,TASK,LOAD,MEASUREMENT_SYSTEM,VARIABLE,DEFINITION,THRESHOLD_IF_ANY,METHOD,UNCERTAINTY_OR_RELIABILITY,APPLICABILITY_TO_OUR_TASK,LIMITATIONS,DIRECTLY_SUPPORTS_NUMERIC_GATE,NOTES
P03,"Loaded CMJ project. INTENDED_USE_AND_CLAIM_BOUNDARY.md (repository canonical document, v1.0.0)",N/A (project internal authority),Project internal authority,Computational system,Claim boundary,N/A,N/A,Acceptable claim / claim ceiling,Simulation qualification only; no human predictive validity without referent,N/A,Document,N/A,Source for the successor claim ceiling,Internal,NO,Internal authority
P04,Loaded CMJ project. BILATERAL_SUPPORT_CONTINUITY_CONTRACT (RES-57) and support_continuity_spec.json,N/A (project internal authority; spec hash cde531e9...),Project internal authority,Computational system,Support-continuity measurement semantics,N/A,Virtual force plates + geometry,"GEOMETRIC_ENGAGEMENT, COMPRESSIVE_SUPPORT, UNILATERAL_FORCE_DROPOUT, GEOMETRIC_LIFTOFF, SEPARATION_EVIDENCE, CONTROL_RELEVANT_SUPPORT_LOSS_EPISODE, CANONICAL_REFLIGHT",Force zero never equals liftoff without geometry; short dropout < 5 ms is not control-relevant; canonical reflight = whole Fz < 10 N for >= 4 steps,Per-foot Fz 10 N; control interval 5 ms; reflight 4 steps (0.5 ms); chatter <= 8 transitions,Frozen contract + pure helpers,Historical RES-56 FAIL preserved,Measurement layer for successor support-continuity scopes and reflight/chatter semantics,Scoped originally to a 150 ms window; successor contract supplies episode-wide scope binding (MED-012),YES,Retained; scope binding added by RES-82
P05,"RES-80 sealed forensic audit: DEFECT_REGISTER (53 defects; CRIT-003, HIGH-010/011/012, MED-001/002/012/013/020)",RES80_AUDIT_HEAD 8c1cbb49...; RES80_EVIDENCE_SEAL c921e6de...,Project historical evidence,V2.1-R001 trajectory and V2 system,Forensic defect audit,20 kg,Sealed traces + source,Defect evidence,Sealed defect register,N/A,Forensic audit,Independently recomputed in RES-81,Defines the defect closure obligations owned by RES-82,Historical; R001 remains BLOCKED,NO,R001 is the canonical negative example
P06,RES-81 sealed authority reset: RES80_DEFECT_TO_ROADMAP_MATRIX (53/53 mapped),RES81_EVIDENCE_SEAL a0ed5304e6835fa9a367e3dfb11d36d652c80fbc99e0eca60fd1d99027a5eeca (sealed in the external evidence root EXP-RES81-POST-RES80-AUTHORITY-RESET-001/SEAL.json),Project historical evidence,Program roadmap,Defect ownership mapping,N/A,N/A,Primary/secondary ownership,"RES-82 primary owner: CRIT-003, HIGH-010, HIGH-011, MED-001, MED-002, MED-012, MED-013, MED-020",N/A,Matrix,Reviewed 42/42 PASS,Scope of RES-82,N/A,NO,Ownership authority
P07,"RES-81 sealed errata: RES80_ERRATA_001 (jump-height terminology, takeoff timeline, action-step timestamp, lead times, one-sided balance wording)",RES81_EVIDENCE_SEAL a0ed5304e6835fa9a367e3dfb11d36d652c80fbc99e0eca60fd1d99027a5eeca (sealed in the external evidence root EXP-RES81-POST-RES80-AUTHORITY-RESET-001/SEAL.json),Project historical evidence,R001 artifacts,Numeric/causal corrections,20 kg,Sealed arrays,Takeoff timeline; jump-height names,FIRST_TRANSIENT_FORCE_DROPOUT 0.640 s; SUSTAINED_TAKEOFF_START 0.64675 s; CANONICAL_E6 0.648125 s; APEX_ABOVE_INITIAL_STANDING_COM 0.036265 m; E6 rise 0.075158 m; true-support-off rise 0.076836 m; E6 vz 1.21446 m/s; ballistic 0.075174 m,N/A,Independent recomputation,0.125 ms grid,Qualified naming and historical reference values; never successor thresholds,Historical R001 only,NO,Explicitly not reused as successor thresholds
P08,Loaded CMJ project. CANONICAL_V2_RUNTIME_CONTRACT.md / CANONICAL_RUNTIME_AUTHORITY.md / TRACE_SCHEMA_V2.md,N/A (project internal authority),Project internal authority,Computational system,Runtime and trace schema,20 kg,MuJoCo + virtual plates,"Runtime contract, observation contract, trace schema",Frozen runtime/composition and trace fields,N/A,Document + code,Subject to RES-88 provenance rebuild,Defines the measurement surfaces the successor metrics will be computed from,Historical implementation defects owned by other RES,NO,Context
B01,"Robertson DGE, Caldwell GE, Hamill J, Kamen G, Whittlesey SN. Research Methods in Biomechanics (2nd ed.). Human Kinetics.",ISBN 9780736093408,Authoritative biomechanics text,N/A,Biomechanics measurement methodology,N/A,N/A,N/A,N/A,N/A,Textbook,N/A,Not located in accessible project paths during RES-82; no citation used,NOT_LOCATED,NO,SOURCE_REVIEW_COVERAGE records the attempted inspection
B02,Zatsiorsky VM. Kinematics of Human Motion. Human Kinetics.,ISBN 9780880116763,Authoritative biomechanics text,N/A,Human motion kinematics,N/A,N/A,N/A,N/A,N/A,Textbook,N/A,Not located in accessible project paths during RES-82; no citation used,NOT_LOCATED,NO,SOURCE_REVIEW_COVERAGE records the attempted inspection
B03,Zatsiorsky VM. Kinetics of Human Motion. Human Kinetics.,ISBN 9780736045780,Authoritative biomechanics text,N/A,Human motion kinetics,N/A,N/A,N/A,N/A,N/A,Textbook,N/A,Not located in accessible project paths during RES-82; no citation used,NOT_LOCATED,NO,SOURCE_REVIEW_COVERAGE records the attempted inspection
B04,"Oberkampf WL, Roy CJ. Verification and Validation in Scientific Computing. Cambridge University Press.",ISBN 9780521761601,Authoritative V&V text,N/A,V&V methodology,N/A,N/A,N/A,N/A,N/A,Textbook,N/A,Not located in accessible project paths during RES-82; V&V principles represented by ASME V&V 40 (S24) and the project taxonomy (P02),NOT_LOCATED,NO,SOURCE_REVIEW_COVERAGE records the attempted inspection
