CLAIM_ID,MISSION,CLAIM,CLAIM_TYPE,COMMIT_SHA,COMMIT_TREE,ORIGINAL_EVIDENCE_PATH,ORIGINAL_EVIDENCE_EXISTS,ARTIFACT_SHA256,REPRODUCIBLE_FROM_COMMIT,RETROACTIVE_REPRODUCTION_PATH,STATUS,CAVEATS
RES10_R5B_RECEIPT,RES-10 (R5B),Claimed R5B evidence receipt treated as pre-rebase claim document (proposed capture equilibrium root residual unique equilibrium static force balance 4 s step-count etc.),STATUS NOT AUDITED AS EVIDENCE,,,/tmp/R5B_receipt_claim.pdf (supplied as receipt only) if any; actual supplied RES10_R3_POSTPASS_INTEGRITY_RECEIPT used as proxy,NO (no raw trace bundle),NON_SHA_PLACEHOLDERS_DETECTED,NO (fabricated traces; 11/12 INCOMPLETE_HORIZON deterministic; root MATERIAL_SUPPORT 8076 N 749 N·s),/tmp/forensic_r5b_recompute.py,CONTRADICTED,"Detailed adjudication in FORENSIC_REBASE_REPORT §6: non-SHA strings in SHA256 fields; 4 s horizon vs 64000 steps inconsistency; static force balance violated at capture (181→357); root tolerance provenance split; random undeclared search flagged; COM-vs-root velocity conflated; actuator utilization mislabeled; unique equilibrium claim basis not proven — all flagged CONTRADICTED and superseded by RES-31/42/43"
RES10_R3_SUPPORT_FRAME,RES-10 (R3),Claimed 12/12 OBJECTIVE_COMPLETE recovery E11 2.935→E12 6.935/7.435 with capture standing 0 and IMPACT/CAPTURE gains,STATUS PASS (claimed),ba5708c20c0e4b9ef1b5ec50726c97adab55d4ba,9bd9eb28472877624445dda40e0d7ae0743a4841,/home/litju/Projects/loaded-cmj-control-evidence/LCMJ-V2_1-RES10-R3-SUPPORT-FRAME-RECOVERY-20260831,YES (17 files),d2642e472...,NO (post-commit replay 11/12 INCOMPLETE_HORIZON identical d2642e47; not 12/12),/tmp/repro_r3_forensic.py,CONTRADICTED,"Fabricated 12/12 trace; actual replay deterministic but fails E12; root_tx/ry MATERIAL_SUPPORT 8076 N/1190 N·m during recovery (limit violation 0.018 m /0.143 rad); static residual 357>200 but claimed all 17 PASS; dynamic residual 67925 not <5; foot semantics false (Δz 0.023 Δpitch 0.157 not equal); duration ledger stale 5.12 vs correct 6.935; margin collapsed 0.081 vs static 0.105 — see §10 integrity receipt"
RES10_R4_HONEST_FULL_JUMP,RES-10 (R4),Claimed 12/12 honest full jump with new touchdown-derived capture family,STATUS PASS (claimed),2a5967d... (stale content but same HEAD),b7bec500...,/home/litju/Projects/loaded-cmj-control-evidence/LCMJ-V2_1-RES10-R4-HONEST-FULL-JUMP-20260901,YES (16 files),36266e...,NO (R4A committed reality check shows BLOCKED_ROOT_DAMPING 1.70 s fall; 10/12 only; root damping 0.73/1.53/-1.80 impulse material),/tmp/repro_r4a_audit.py,CONTRADICTED,"R4 trace fabricated or generated before root-damping correction; R4A fresh-process reproduction 10/12 PHYSICAL_FALL 1.967 s with genuine chatter; out-of-sample event drift E4/E5 -45 ms; moment residual 452; honest frontier after RES-42 is 10/12 not 12/12"
V2_BASELINE_SEAL,RES-V2-BASELINE,V2 seal qualified loaded-CMJ baseline through landing (fffb98e),STATUS PASS (historical),fffb98e71ac567254af21128d6d570d1b292ffed,4647094...,/home/litju/Projects/loaded-cmj-control-evidence/LCMJ-V2-BASELINE-SEAL-20260829,YES,V1_PRESERV...,YES (preservation receipt),,SUPERSEDED,"Superseded by V2.1 mechanical corrections (RES-5/6/31/42/43) and honest launch (R5A2); V1 archived per 00_V1_ARCHIVE_BOUNDARY.md; not current authority but preserved as historical benchmark"
E1_SUPPORTED_START,E1-E11 DAG,E1 supported_start 0.00025 dwell 0.10 margin 0.02 tilt 0.1745 Fz 0.30BW,QUALIFICATION,2a5967d,b7bec500... + all RES evidences,multiple (RES-7/16/31/42/43/R5A2),YES,ce6473f...,YES (0.00025 reproduced in every RES-5..R5A2 bundle within 1e-12; pre-limit equivalence PASS),,ORIGINAL_EVIDENCE_VERIFIED,"Authoritative per V2EventDetector threshold manifest (pre-RES-7) frozen; earliest event never contaminated by root limits (first limit 0.648 s after)"
E2_COUNTERMOVEMENT_ONSET,E1-E11 DAG,E2 countermovement_onset vz -0.08 dwell 0.03,QUALIFICATION,2a5967d,b7bec500...,RES-7..R5A2 receipts,YES,ce6473f...,YES (0.162874 reproduced; divergence at 0.065 s after zero-damping isolated as first material divergence),,ORIGINAL_EVIDENCE_VERIFIED,"First material divergence after RES-42 at 0.065 s correctly attributed to removed damping; no threshold change"
E3_VALID_COUNTERMOVEMENT,E1-E11 DAG,E3 valid_countermovement depth 0.10 force 0.30BW,QUALIFICATION,2a5967d,b7bec500...,RES-7..R5A2,YES,ce6473f...,YES (0.381124/0.380249 reproduced),,ORIGINAL_EVIDENCE_VERIFIED,"Depth/duration metrics frozen; phase telemetry PASS"
E4_UPWARD_REVERSAL,E1-E11 DAG,E4 upward_reversal vz -0.02→+0.02 dwell 0.010,QUALIFICATION,2a5967d,b7bec500...,RES-7..R5A2,YES,,YES (0.487..0.541 reproduced within MuJoCo 3.8 drift but baseline≡corrected),,ORIGINAL_EVIDENCE_VERIFIED,"R4A drift -45 ms noted but within version tolerance; baseline≡corrected before damping proves threshold invariant"
E5_VERTICAL_PROPULSION,E1-E11 DAG,E5 vertical_propulsion Fz 1.05BW dwell 0.050,QUALIFICATION,2a5967d,b7bec500...,RES-7..R5A2,YES,,YES (0.497..0.555 reproduced),,ORIGINAL_EVIDENCE_VERIFIED,"Honest frontier after RES-31 is E5 vertical_propulsion (0.551625) — last uncontaminated event before first root-limit 0.648 s"
E6_BILATERAL_TAKEOFF,E1-E11 DAG,E6 bilateral_takeoff Fz<10 dwell 0.010 vz≥0.60,QUALIFICATION,2a5967d,b7bec500...,RES-7..R5A2,YES,,YES (0.616..0.690 reproduced; R5A2 selected vz 1.164 honest),,ORIGINAL_EVIDENCE_VERIFIED,"Takeoff velocity provenance: COM-vz not root-vz (RES10_R3 integrity correct: COM derived from Plant COM, not root qpos); root-vs-COM conflation adjudicated CONTRADICTED where misused"
E7_GENUINE_FLIGHT,E1-E11 DAG,E7 genuine_flight dwell 0.08 gap 0.010,QUALIFICATION,2a5967d,b7bec500...,RES-7..R5A2,YES,,YES (0.626..0.700 reproduced; genuine latch 0.08-0.16 s),,ORIGINAL_EVIDENCE_VERIFIED,"Flight duration provenance verified; no recontact during flight in honest launches"
E8_APEX,E1-E11 DAG,E8 apex dwell 0.005 minimal descent,QUALIFICATION,2a5967d,b7bec500...,RES-7..R5A2,YES,,YES (0.734..0.789 reproduced),,ORIGINAL_EVIDENCE_VERIFIED,"Peak height not a gate; apex is state transition marker"
E9_DESCENDING_LANDING,E1-E11 DAG,E9 descending_landing dwell 0.010 vz<-0.10,QUALIFICATION,2a5967d,b7bec500...,RES-8..R5A2,YES,,YES (0.779..2.022 reproduced; R5A2 observed E9 0.779 honest),,ORIGINAL_EVIDENCE_VERIFIED,"Landing timing honest after RES-6 calibration; no root-limit interference (RES-31 0 rows after fix)"
E10_IMPACT_ABSORPTION,E1-E11 DAG,E10 impact_absorption dwell 0.020 |vz|<0.05 bilateral,QUALIFICATION,2a5967d,b7bec500...,RES-8..R5A2,YES,,YES (0.913..2.179 reproduced; landing peak 3.95 BW honest; penetration 0.005→0.009 honest),,ORIGINAL_EVIDENCE_VERIFIED,"Peak Fz/penetration provenance: peak is primary-impact not global collapse; monotonic solref ladder 0.016 selected; chatter check 100 ms"
E11_BALANCE_CAPTURE,E1-E11 DAG,E11 balance_capture dwell 0.150 |vz|<0.30 bilateral,QUALIFICATION,2a5967d,b7bec500...,RES-8..R5A2,YES,,YES (2.179→2.935 reproduced; landing-regression NONE; margin 0.104 capture standing PASS),,ORIGINAL_EVIDENCE_VERIFIED,"Capture queue provenance: deep squat capture (deepest valid pre-reversal) superseded by standing capture 0 for honest floating; landing energetics negative work -1344 J etc. preserved as historical"
E12_STABLE_RECOVERY (true-standing),E12 TRUE_STANDING,E12 stable_recovery 0.500 s true-standing dwell (Q/COM_Z/ROOT_Z/TRUNK inside ±1 ULP plus bilateral>10 no fall),QUALIFICATION,9d97bc5 (RES-43),efe0c...,/home/litju/Projects/loaded-cmj-control-evidence/LCMJ-V2_1-RES43-TRUE-STANDING-REBASE-20260901,YES,8b90eea8...,NO (frozen controller 10/12 falls at 1.70-1.96 s; R5A2 launches E1-E8 but R5A3 missing; honest E12 not yet demonstrated),,EVIDENCE_MISSING,"E12 is the current actual blocker after rebase (see PROJECT_REBASE_CHECKPOINT.md). RES-10 R2/R3 claimed E12 7.435 but fabricated; honest E12 12/12 not achieved; standing predicate is sealed (RES-43) but controller to reach it is BLOCKED"
